name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,age
370,1,2.0312609561764936,1,3,9,0,-0.37151574474521554
371,1,3.660736209717459,1,5,10,0,-1.2681689168699377
372,1,2.15064934362795,1,6,10,0,0.5484925113344775
373,1,4.795859269664405,1,8,9,0,0.9527322640694014
374,1,3.534144200047894,0,4,9,0,0.9970495091129323
375,1,5.3386914480529155,1,7,10,0,2.019888257556021
376,1,3.350485006653389,1,8,10,0,-0.5975304067882002
377,1,3.3399751710993595,2,6,11,0,1.4217166007980628
378,1,3.095491151083909,1,5,13,0,-0.4276305931031076
379,1,3.8157890425343117,2,9,9,0,1.8682650541682588
380,1,1.2545891628690475,0,2,11,0,-1.7957994118734746
381,1,3.345859617402601,2,4,14,0,-0.9827995233568623
382,1,4.213805706704996,4,7,12,0,0.9036851150009507
383,1,3.738886569401422,3,5,12,0,0.7112360843936973
384,1,3.124507787365343,3,4,9,1,-0.306790232272082
385,1,1.1021965976480086,1,2,11,1,-0.6466855768837312
386,1,3.108365610341079,3,7,9,0,-0.3480078283570615
387,1,2.5222769316475206,2,8,9,0,-1.1447227295802753
388,1,1.6207618829742056,1,2,11,1,-1.295245835957148
389,1,1.642819227307556,1,2,12,1,-0.5650380431290551
390,1,3.4493358914546994,3,4,10,1,1.0518634608183703
391,1,4.208649676557796,4,5,9,1,-0.4001563748649094
392,1,5.164148466083392,5,6,8,1,1.5929390309995326
393,1,1.566563646175934,1,2,7,1,-0.22789087670337374
394,1,-0.8062529360695745,0,0,8,1,-1.4523220862397428
395,1,0.12363610631339261,0,2,9,0,-0.6213695593201507
396,1,2.282837384378128,2,5,9,0,-0.5071659443897732
397,1,3.9558783545074165,3,4,10,1,0.4335009390439547
398,1,3.86807000788735,3,6,10,0,0.3715928841238892
399,1,0.5999699487597847,0,1,9,1,-1.1207542072661127
400,1,1.7132697819994083,1,2,8,1,-0.6840329729231436
401,1,5.094855867792652,2,7,11,0,1.2223420557879066
402,1,3.3948160028227337,3,7,12,0,0.6636820798337693
403,1,3.468619140360901,2,4,9,0,0.08556739093233566
404,1,1.3180457775867243,1,3,7,0,-1.7481856711344959
405,1,1.7212999653835432,1,2,11,1,0.40113379325813464
406,1,-0.19601163789559894,0,0,9,1,-1.4049441190924132
407,1,3.4633027865896304,2,5,9,0,-0.09222016117363911
408,1,3.596691495755584,1,4,10,0,1.4205528540834207
409,1,2.295042065668846,2,4,12,0,-1.0661908542904808
410,1,3.649376164429219,3,4,9,1,0.26760246674406
411,1,5.972946471580468,5,6,10,1,1.9569631284532516
412,1,2.6302172133533013,2,5,10,0,0.49303458155578717
413,1,3.194119071604084,2,6,9,0,-0.0816357474904914
414,1,3.4239941390442645,3,4,10,1,0.3479742468670464
415,1,3.3166245739641433,3,9,9,0,-0.032786980109430465
416,1,4.4766836685365865,1,6,8,0,0.9331057346154722
417,1,2.350768112046051,2,3,8,1,-0.2983484176253373
418,1,3.2475476838642354,1,7,9,0,-0.7792883070117228
419,1,4.520819219831434,4,5,8,1,1.8569624760136487
420,1,5.325836689200774,3,8,8,0,1.7521062042484012
421,1,3.422447344226499,2,4,8,0,1.4765867465242202
422,1,0.39001216836662245,0,2,12,0,-1.1131157823513242
423,1,3.5497783629563626,3,4,10,1,1.9619062969525685
424,1,3.5397825681050534,3,4,14,1,-0.476457314262206
425,1,3.0346160772063873,1,6,9,0,-0.13682575016136334
426,1,3.18243485856337,3,5,13,0,-0.16366221299194536
427,1,1.5176958056661123,1,7,9,0,-1.3099602891589006
428,1,3.5455034634620453,1,4,10,0,0.23620060669995738
429,1,0.6682794070223679,0,1,10,1,-0.7421162895598484
430,1,5.590156860121251,4,7,9,0,-0.0563224282497405
431,1,4.1368604939388645,3,5,12,0,-0.8382956327678623
432,1,2.262961064246313,2,3,9,1,-1.1587247550235769
433,1,4.842524857651488,4,7,9,0,1.5569764606556966
434,1,4.7394001488230195,3,5,10,0,0.6502630036762448
435,1,5.167388905674158,5,6,9,1,1.6270469692962406
436,1,2.7536631757592973,2,8,10,0,-0.7078807824681652
437,1,3.8534889177464042,2,9,9,0,1.2320255928822044
438,1,4.130896050350255,3,9,10,0,-0.24217521169318842
439,1,4.202061541932457,3,5,9,0,-0.3504452507955634
440,1,4.249975856279887,4,5,10,1,-0.37429064506520376
441,1,4.5371612757412745,1,6,8,0,1.855217816080454
442,1,2.63220249508998,1,3,7,0,-0.6361425323248568
443,1,3.3789880944649724,3,7,11,0,-1.4269562312579416
444,1,2.757001255026958,2,3,13,1,0.9642027882742846
445,1,3.4834263498070075,1,4,9,0,1.161836783470336
446,1,4.591444216971505,0,7,10,0,1.1489688981432211
447,1,2.77453726395107,2,4,10,0,0.6065265199989769
448,1,3.276278236747897,3,4,9,1,0.4123956653417133
449,1,3.534802696909119,3,9,10,0,1.4987421582522036
450,1,2.4597771402127364,2,3,10,1,-0.08719262494586646
451,1,3.9302663859301266,1,10,10,0,-0.25396447141270356
452,1,2.416915893255403,0,3,11,0,-0.6609614341884466
453,1,2.4971177391855783,2,5,11,0,-0.3993034586539025
454,1,5.818573646689567,5,9,11,0,1.973494796344613
455,1,2.610731572199952,2,6,10,0,-1.2485858732793433
456,1,2.3803877956291237,1,7,9,0,-0.7837505836446396
457,1,3.645624783538039,2,4,10,0,-0.5030105806111856
458,1,3.1464713374667204,3,10,12,0,0.838876312083534
459,1,5.231109220259947,4,6,8,0,0.41905068042591026
460,1,0.8341627183259424,0,1,9,1,-1.3114322669874314
461,1,2.288044928798991,2,7,8,0,1.237505771936375
462,1,4.028689463431753,0,5,12,0,0.9166488918360872
