,constant,error_sd,k,naive_rmse,rmse_at_k,run_num,sim_network,true_rmse,var1_coef,var1_sd
97,5.0,2.0,40,6.51234277288,3.96857100987,613,20_1000_ws_0-1,2.01090375421,3.0,1.0
98,5.0,2.0,50,6.51234277288,3.0123223294,613,20_1000_ws_0-1,2.01090375421,3.0,1.0
99,5.0,2.0,60,6.51234277288,2.32404998124,613,20_1000_ws_0-1,2.01090375421,3.0,1.0
100,5.0,2.0,20,6.57534981898,5.61798635796,558,20_1000_ws_0-1,1.88880385271,3.0,1.0
101,5.0,2.0,30,6.57534981898,4.49335901535,558,20_1000_ws_0-1,1.88880385271,3.0,1.0
102,5.0,2.0,40,6.57534981898,3.45354930671,558,20_1000_ws_0-1,1.88880385271,3.0,1.0
103,5.0,2.0,50,6.57534981898,2.39276567609,558,20_1000_ws_0-1,1.88880385271,3.0,1.0
104,5.0,2.0,60,6.57534981898,2.1168115515,558,20_1000_ws_0-1,1.88880385271,3.0,1.0
105,5.0,2.0,20,6.66601482541,6.09960843397,559,20_1000_ws_0-1,1.99162057489,3.0,1.0
106,5.0,2.0,30,6.66601482541,5.55338060035,559,20_1000_ws_0-1,1.99162057489,3.0,1.0
107,5.0,2.0,40,6.66601482541,5.30977119599,559,20_1000_ws_0-1,1.99162057489,3.0,1.0
108,5.0,2.0,50,6.66601482541,4.0327864378,559,20_1000_ws_0-1,1.99162057489,3.0,1.0
109,5.0,2.0,60,6.66601482541,2.83253981205,559,20_1000_ws_0-1,1.99162057489,3.0,1.0
110,5.0,2.0,70,6.66601482541,2.18088365848,559,20_1000_ws_0-1,1.99162057489,3.0,1.0
111,5.0,2.0,20,6.60637611905,5.77581417833,612,20_1000_ws_0-1,2.0267881514,3.0,1.0
112,5.0,2.0,30,6.60637611905,5.79818556438,612,20_1000_ws_0-1,2.0267881514,3.0,1.0
113,5.0,2.0,40,6.60637611905,4.92809780603,612,20_1000_ws_0-1,2.0267881514,3.0,1.0
114,5.0,2.0,50,6.60637611905,3.38794620862,612,20_1000_ws_0-1,2.0267881514,3.0,1.0
115,5.0,2.0,60,6.60637611905,2.9850700305,612,20_1000_ws_0-1,2.0267881514,3.0,1.0
116,5.0,2.0,70,6.60637611905,2.32841950363,612,20_1000_ws_0-1,2.0267881514,3.0,1.0
117,5.0,2.0,20,6.45663837928,6.2420550704,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
118,5.0,2.0,30,6.45663837928,6.2420550704,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
119,5.0,2.0,40,6.45663837928,4.46981350287,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
120,5.0,2.0,50,6.45663837928,3.78878782104,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
121,5.0,2.0,60,6.45663837928,2.86529551395,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
122,5.0,2.0,70,6.45663837928,2.46923789777,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
123,5.0,2.0,80,6.45663837928,2.16482707266,554,20_1000_ws_0-1,1.99561618453,3.0,1.0
124,5.0,2.0,20,6.72363967378,5.94553901476,555,20_1000_ws_0-1,1.98172583592,3.0,1.0
125,5.0,2.0,30,6.72363967378,5.66664769615,555,20_1000_ws_0-1,1.98172583592,3.0,1.0
126,5.0,2.0,40,6.72363967378,4.03291823345,555,20_1000_ws_0-1,1.98172583592,3.0,1.0
127,5.0,2.0,50,6.72363967378,3.07187244142,555,20_1000_ws_0-1,1.98172583592,3.0,1.0
128,5.0,2.0,60,6.72363967378,2.66836637642,555,20_1000_ws_0-1,1.98172583592,3.0,1.0
129,5.0,2.0,20,6.55882410295,5.60034862301,556,20_1000_ws_0-1,2.03303412977,3.0,1.0
130,5.0,2.0,30,6.55882410295,5.05478882695,556,20_1000_ws_0-1,2.03303412977,3.0,1.0
131,5.0,2.0,40,6.55882410295,3.70527241428,556,20_1000_ws_0-1,2.03303412977,3.0,1.0
132,5.0,2.0,50,6.55882410295,3.37033838897,556,20_1000_ws_0-1,2.03303412977,3.0,1.0
133,5.0,2.0,60,6.55882410295,2.76495868407,556,20_1000_ws_0-1,2.03303412977,3.0,1.0
134,5.0,2.0,70,6.55882410295,2.26206061924,556,20_1000_ws_0-1,2.03303412977,3.0,1.0
135,5.0,2.0,20,6.42245019557,6.35855695427,557,20_1000_ws_0-1,2.01506858053,3.0,1.0
136,5.0,2.0,30,6.42245019557,5.74369363491,557,20_1000_ws_0-1,2.01506858053,3.0,1.0
137,5.0,2.0,40,6.42245019557,4.64363517131,557,20_1000_ws_0-1,2.01506858053,3.0,1.0
138,5.0,2.0,50,6.42245019557,3.87739715816,557,20_1000_ws_0-1,2.01506858053,3.0,1.0
139,5.0,2.0,60,6.42245019557,2.99885031602,557,20_1000_ws_0-1,2.01506858053,3.0,1.0
140,5.0,2.0,70,6.42245019557,2.78179536149,557,20_1000_ws_0-1,2.01506858053,3.0,1.0
141,5.0,2.0,20,6.3759892771,6.39127412436,550,20_1000_ws_0-1,1.9836254323,3.0,1.0
142,5.0,2.0,30,6.3759892771,6.3678739596,550,20_1000_ws_0-1,1.9836254323,3.0,1.0
143,5.0,2.0,40,6.3759892771,5.75951092904,550,20_1000_ws_0-1,1.9836254323,3.0,1.0
144,5.0,2.0,50,6.3759892771,4.63126257023,550,20_1000_ws_0-1,1.9836254323,3.0,1.0
145,5.0,2.0,60,6.3759892771,3.33667253114,550,20_1000_ws_0-1,1.9836254323,3.0,1.0
146,5.0,2.0,70,6.3759892771,2.40144393109,550,20_1000_ws_0-1,1.9836254323,3.0,1.0
147,5.0,2.0,20,6.50317632714,6.19455016841,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
148,5.0,2.0,30,6.50317632714,5.83246754297,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
149,5.0,2.0,40,6.50317632714,5.38397158439,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
150,5.0,2.0,50,6.50317632714,4.00184839626,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
151,5.0,2.0,60,6.50317632714,2.88773485483,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
152,5.0,2.0,70,6.50317632714,2.30476333103,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
153,5.0,2.0,80,6.50317632714,2.04835096416,551,20_1000_ws_0-1,2.00302291898,3.0,1.0
154,5.0,2.0,20,6.73706582935,6.0366924646,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
155,5.0,2.0,30,6.73706582935,5.61463664713,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
156,5.0,2.0,40,6.73706582935,5.59772143395,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
157,5.0,2.0,50,6.73706582935,4.66702547606,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
158,5.0,2.0,60,6.73706582935,3.40655892692,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
159,5.0,2.0,70,6.73706582935,2.48356540683,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
160,5.0,2.0,80,6.73706582935,2.22751850689,552,20_1000_ws_0-1,1.95707552251,3.0,1.0
161,5.0,2.0,20,6.772121547,5.70092988433,553,20_1000_ws_0-1,1.93371392973,3.0,1.0
162,5.0,2.0,30,6.772121547,5.06928636975,553,20_1000_ws_0-1,1.93371392973,3.0,1.0
163,5.0,2.0,40,6.772121547,4.0812261369,553,20_1000_ws_0-1,1.93371392973,3.0,1.0
164,5.0,2.0,50,6.772121547,3.20349980492,553,20_1000_ws_0-1,1.93371392973,3.0,1.0
165,5.0,2.0,60,6.772121547,2.52346304836,553,20_1000_ws_0-1,1.93371392973,3.0,1.0
166,5.0,2.0,20,6.41260916474,6.08072200043,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
167,5.0,2.0,30,6.41260916474,6.02142116502,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
168,5.0,2.0,40,6.41260916474,4.93163262398,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
169,5.0,2.0,50,6.41260916474,4.45958536654,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
170,5.0,2.0,60,6.41260916474,3.10186064181,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
171,5.0,2.0,70,6.41260916474,2.3483599372,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
172,5.0,2.0,80,6.41260916474,2.19129100646,415,20_1000_ws_0-1,1.98364860122,3.0,1.0
173,5.0,2.0,20,6.62715136766,6.08694537525,414,20_1000_ws_0-1,1.96780760514,3.0,1.0
174,5.0,2.0,30,6.62715136766,4.44846283987,414,20_1000_ws_0-1,1.96780760514,3.0,1.0
175,5.0,2.0,40,6.62715136766,4.04437193731,414,20_1000_ws_0-1,1.96780760514,3.0,1.0
176,5.0,2.0,50,6.62715136766,3.41014403184,414,20_1000_ws_0-1,1.96780760514,3.0,1.0
177,5.0,2.0,60,6.62715136766,2.86064348809,414,20_1000_ws_0-1,1.96780760514,3.0,1.0
178,5.0,2.0,70,6.62715136766,2.60709359071,414,20_1000_ws_0-1,1.96780760514,3.0,1.0
179,5.0,2.0,20,6.51407886945,6.15448962756,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
180,5.0,2.0,30,6.51407886945,4.97299613919,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
181,5.0,2.0,40,6.51407886945,4.85737041531,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
182,5.0,2.0,50,6.51407886945,3.17276592488,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
183,5.0,2.0,60,6.51407886945,2.66426560557,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
184,5.0,2.0,70,6.51407886945,2.54122481331,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
185,5.0,2.0,80,6.51407886945,2.19590896805,417,20_1000_ws_0-1,1.95696276455,3.0,1.0
186,5.0,2.0,20,6.71282482419,6.04252596694,416,20_1000_ws_0-1,1.99820416839,3.0,1.0
187,5.0,2.0,30,6.71282482419,5.78485817329,416,20_1000_ws_0-1,1.99820416839,3.0,1.0
