,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
302,1942,1,0,,-3.3098782129113076,1,-1.4340241916541945,-0.8951294121393675
303,1963,1,0,,-0.5881459896499288,0,-0.1510127990525846,-1.514610028106915
304,1966,1,0,,-2.844216148595325,1,-0.8787818555806463,-1.003136456961849
305,1976,1,0,,-0.35306434697811045,0,-0.6082042804389252,-1.077635325168388
306,1991,1,0,,-0.9253747769301461,1,0.14302776992178884,-1.341178237443509
307,2001,1,0,,-6.181134178663608,1,-1.665771553624146,-1.4877965053115203
308,2008,1,0,,-3.700669341329927,1,-2.0214011946955464,-0.5084664505986433
309,2022,1,0,,-1.5743295080375823,1,-0.8586283049665987,-1.1986251538401624
310,2029,1,0,,-0.4028987985490936,1,0.1391118465801139,-1.3985254949142178
311,2045,1,0,,-5.754340523690024,1,-1.9186301913459907,-1.4731164483179702
312,2046,1,0,,-6.088875059402383,0,-1.4000223631363828,-1.727815384257594
313,2061,1,0,,-1.227684764948748,0,-0.26365728778734243,-1.9127280797058668
314,2065,1,0,,-3.048382508646479,1,-1.340125182407883,-0.6452604275287137
315,2079,1,0,,-0.3085628641628104,1,-0.5989006681664166,-0.4928908793575406
316,2094,1,0,,-1.4171857208060334,1,-0.6593069952079351,-1.0858742442958937
317,2103,1,0,,-0.5698241138318374,0,-1.0646654505942619,-0.9189600518542687
318,2120,1,0,,-2.6847257710528556,1,-2.5604042069573167,0.3661005739347782
319,2135,1,0,,-1.4941551060397957,0,-1.4149255464979176,-1.1034092321819908
320,2136,1,0,,-0.15965926277637021,0,-0.5589022220837983,-1.2744738092812078
321,2138,1,0,,-3.826598565961248,1,-0.7206959336318465,-1.7691642280818916
322,2140,1,0,,-1.1099948723737731,0,0.05981232408891287,-2.3289333911999326
323,2146,1,0,,-0.1082862263740818,0,0.3555688810559542,-2.585912142113391
324,2157,1,0,,-0.6093437345394769,1,-0.05209556700878931,-1.4179401384730932
325,2163,1,0,,-0.6749592014232689,1,-0.4639270287575613,-1.1816651764227086
326,2167,1,0,,-3.9084772690804472,0,0.2007551235394855,-2.757197781392561
327,2173,1,0,,-0.05080063493115508,0,-0.726327630411796,-0.9781880073676014
328,2182,1,0,,-0.8676507769284338,1,-0.3834783759504457,-1.162364906940386
329,2187,1,0,,-3.965824701350496,1,-1.4862696823216446,-0.2320081365992349
330,2200,1,0,,-0.8465300657770304,1,0.38675937114979986,-2.097435938053213
331,2201,1,0,,-2.9367539904949513,0,-0.807203918559468,-1.452363466947581
332,2211,1,0,,-1.0054728622657518,1,-0.5583248010166566,-0.80722325260631
333,2220,1,0,,-4.2854832749527425,0,-0.5392825241824603,-2.546222907802719
334,2226,1,0,,-2.80270358445391,1,-2.029123342164534,0.0844633677325965
335,2238,1,0,,-0.3726676334715626,0,-1.2886275167357117,-1.1303981644334742
