,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
1129,7610,1,0,,-2.2537853491727744,1,-0.20628106142543098,-1.2011635109932146
1130,7625,1,0,,-4.76852391134323,0,-0.7885760119236275,-1.8362820909364221
1131,7626,1,0,,-1.0527178598296887,0,-1.4341523199075161,-0.10464411679571718
1132,7628,1,0,,-1.4175724900546833,0,-0.42138334013169043,-1.6112042406029665
1133,7635,1,0,,-3.0744957119913496,0,-1.7082247085674704,-0.8311177153895071
1134,7652,1,0,,-0.5319389925901074,1,-1.4129687371863122,-0.16053067404436344
1135,7653,1,0,,-0.2330893455445291,1,-0.013039965446748132,-1.1002156269151449
1136,7656,1,0,,-1.1365502821193167,1,-1.0669301370414508,-0.6330933012126065
1137,7673,1,0,,-2.3721098471842197,1,-0.14463775002696322,-2.3639301194262674
1138,7688,1,0,,-0.08771043971365616,1,-0.06970678923714226,-1.2475003910459954
1139,7691,1,0,,-3.3642827602497847,1,-1.2190544829449688,-0.7794516479465365
1140,7692,1,0,,-2.1662051986865687,1,-1.2522694995609227,-0.7432356535591991
1141,7701,1,0,,-4.423996253513014,0,-1.58462054604523,-1.386064574527737
1142,7703,1,0,,-3.665748413882799,0,-1.5694874080709755,-0.9046244367839806
1143,7718,1,0,,-0.42877841310607334,1,0.11900907780281131,-1.2843946374212634
1144,7722,1,0,,-3.6700839806747956,1,-1.5965328560866001,-1.0317329283979784
1145,7726,1,0,,-0.1418615835541146,0,-1.3786082990532202,0.08062430241237951
1146,7729,1,0,,-4.203359965090003,1,-0.6577918633822375,-2.2157555260742194
1147,7732,1,0,,-0.6628696367274993,1,-0.04949723919277911,-1.2209357940335979
1148,7736,1,0,,-2.581378812932751,1,-1.0223523755186632,-1.219483736481287
1149,7741,1,0,,-0.662004765936612,1,-0.17157223560752796,-1.6331950255417698
1150,7742,1,0,,-1.1166894352053947,1,-0.9958830218850072,-0.5259718032761566
1151,7744,1,0,,-2.4753936624875204,0,-0.4958790237685849,-1.8043301889113692
1152,7747,1,0,,-1.1283617447260483,0,-1.0924718430227165,-1.1977547459320657
1153,7752,1,0,,-2.9534854634082905,1,-1.1036276496658042,-1.6216930197433643
1154,7755,1,0,,-0.3316687512405203,1,-0.6602400130994744,-0.37799681602457613
1155,7760,1,0,,-2.0961206761773816,0,-1.3418758555158554,-1.1983731966325397
1156,7765,1,0,,-2.7562659573512485,1,-1.2319858794571552,-0.954767656666646
1157,7766,1,0,,-3.511070419625519,0,-1.6488347311275935,-1.422403101636976
1158,7790,1,0,,-1.947476234208513,0,-1.044228554278294,-1.2999498741380144
1159,7791,1,0,,-7.272486799031283,0,-2.6405217189928725,-1.1749637671291127
1160,7803,1,0,,-2.0172561102113664,1,-0.9698254165958313,-0.890715327208406
1161,7810,1,0,,-1.7507669514705366,1,-0.8387387825842083,-1.0072434885934454
1162,7816,1,0,,-3.5206028007428016,1,-1.0236957971212821,-1.60845916685111
